properties,latitude,longitude
{'DURAK_ADI': 'Memleket Cad.'},41.0542398633,28.622123774
{'DURAK_ADI': 'Mihrimah Sk.'},41.0542916526,28.6218253285
{'DURAK_ADI': 'Büyükçekmece Iski Tesisleri İç Yolu'},41.0438849268,28.5937220847
{'DURAK_ADI': 'Eskice Karaağaç Yolu Cad.'},41.0560643132,28.5875599109
{'DURAK_ADI': 'Gülnihal Sk.'},41.071090982,28.5837512188
{'DURAK_ADI': 'Behçet Kemal Çağlar Cad.'},41.0275837854,28.5884660241
{'DURAK_ADI': 'Behçet Kemal Çağlar Cad.'},41.0275580974,28.588060171
{'DURAK_ADI': 'Eski Ankara Asfaltı'},40.9110806568,29.3879964258
{'DURAK_ADI': 'Emir Sultan Cad.'},40.9285911676,29.3241212865
{'DURAK_ADI': 'Ankara Cad.'},40.8985172133,29.2670863673
{'DURAK_ADI': 'Nazım Hikmet Bulvarı'},41.0202077368,28.6549987097
{'DURAK_ADI': 'Nazım Hikmet Bulvarı'},41.0187818798,28.6491078941
{'DURAK_ADI': 'Bağlantı Yolu'},41.0232394376,28.5817250562
{'DURAK_ADI': 'Hadımköy-İstanbul Cad.'},41.0251623957,28.6283452252
{'DURAK_ADI': 'Hadımköy Yolu Cad.'},41.0281863516,28.6266056656
{'DURAK_ADI': 'D-100 Karayolu'},41.0260718031,28.6161334783
{'DURAK_ADI': 'D-100 Karayolu'},41.0251941835,28.6204202557
{'DURAK_ADI': 'Yaya Yolu'},41.0230642787,28.6241868416
{'DURAK_ADI': 'Karadeniz Cad.'},41.0536408956,28.4175834935
{'DURAK_ADI': 'Esentepe Cad.'},41.0480028932,28.4241817679
{'DURAK_ADI': 'Kuran Kursu Cad.'},40.9649499653,29.2658767492
{'DURAK_ADI': 'Semerkant Bulvarı'},40.9305273965,29.2731917884
{'DURAK_ADI': 'Aydos Cad.'},40.9192891055,29.2651546091
{'DURAK_ADI': 'Aydos Cad.'},40.919225801,29.2651995535
{'DURAK_ADI': 'Semerkant Bulvarı'},40.9216920391,29.2685824355
{'DURAK_ADI': 'Semerkant Bulvarı'},40.9219565838,29.2684102195
{'DURAK_ADI': 'Semerkant Bulvarı'},40.9244272637,29.2672547084
{'DURAK_ADI': 'Semerkant Bulvarı'},40.9246884479,29.2675371644
{'DURAK_ADI': 'Semerkant Bulvarı'},40.9269447302,29.2711926833
{'DURAK_ADI': 'Semerkant Bulvarı'},40.9269071381,29.2709437762
{'DURAK_ADI': 'Bekir Sıtkı Say Cad.'},41.1388619232,28.2815835268
{'DURAK_ADI': 'Müstakil Yol'},41.1477480156,28.2865433467
{'DURAK_ADI': 'Bekir Sıtkı Say Cad.'},41.1582636722,28.2906561788
{'DURAK_ADI': 'Sağlık Cad.'},41.1955584464,28.3296270129
{'DURAK_ADI': 'Cevizdere Sk.'},41.1977217595,28.337790112
{'DURAK_ADI': 'Turgut Özal Bulvarı'},41.0721291032,28.2637023199
{'DURAK_ADI': 'PİRİNÇCİ'},41.1642814185,28.8507155165
{'DURAK_ADI': 'ESKİ EDİRNE CAD.'},41.1703224787,28.760256755
{'DURAK_ADI': 'ÇAMLIK'},41.1624254989,28.7722824308
{'DURAK_ADI': 'ORMAN İŞLETMESİ'},41.1569727617,28.7867118537
{'DURAK_ADI': 'BALCILAR'},41.1602497194,28.7796414911
{'DURAK_ADI': 'SİNCANLAR'},41.1420953714,28.8004258681
{'DURAK_ADI': 'Eski Edirne Asfaltı Cad.'},41.1362721076,28.816624391
{'DURAK_ADI': 'Eski Edirne Asfaltı Cad.'},41.1454345144,28.7945576802
{'DURAK_ADI': 'D-100 Karayolu'},41.0749007357,28.0863247888
{'DURAK_ADI': 'Kınalı Kavşağı'},41.076730503,28.0797945408
{'DURAK_ADI': 'D-100 Karayolu'},41.0876270153,28.0197957747
{'DURAK_ADI': 'Bağlantı Yolu'},41.0894261548,28.0108301711
{'DURAK_ADI': 'Gölet Cad.'},41.0967264534,28.0013848415
{'DURAK_ADI': 'Gölet Cad.'},41.0995189703,28.0045988893
{'DURAK_ADI': 'Çaybaşı Sk.'},41.0983691451,28.0063395173
{'DURAK_ADI': 'Gazipaşa Cad.'},41.0972158791,28.0081746541
{'DURAK_ADI': 'Ersin Sk.'},41.0720670133,28.263755581
{'DURAK_ADI': 'Musa Çavuş Sk.'},41.0753123025,28.2541614995
{'DURAK_ADI': 'Ali Bostancı Sk.'},41.0745770199,28.2551085956
{'DURAK_ADI': 'Hasan Korsan Sk.'},41.0737832448,28.2551136898
