locationName,parkID,parkName,lat,lng,capacity,emptyCapacity,updateDate,workHours,parkType,freeTime,monthlyFee,tariff,district,address,areaPolygon
1293 Yavuz Selim Otomatik Otoparkı,2381,1293 Yavuz Selim Otomatik Otoparkı,41.0233,28.9529,60,60,17.05.2024 16:01:24,24 Saat,KAPALI OTOPARK,15,1950.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 73,00;4-8 Saat : 100,00;8-12 Saat : 134,00;Tam Gün : 200,00",FATİH,YAVUZ SULTAN SELİM MAH. KADI ÇEŞMESİ SK. NO:45 / FATİH,"POLYGON ((28.952848731783913 41.023334591767309, 28.952979489473389 41.023297155674435, 28.952948644069718 41.023243530963796, 28.952820568589257 41.023283496554171, 28.952848731783913 41.023334591767309))"
1467 15 Temmuz Demokrasi Otogarı,2866,15 Temmuz Demokrasi Otogarı,41.0402,28.8942,1000,0,17.05.2024 22:40:01,24 Saat,AÇIK OTOPARK,40,240.0,"Tam Gün : 94,00",BAYRAMPAŞA,"Altıntepsi Mh., 34035 Bayrampaşa/İstanbul","POLYGON ((28.894552718431704 41.041532101534649, 28.893233071596377 41.040528679556672, 28.893233071596377 41.039541426874266, 28.894263039858096 41.03893450189166, 28.895378838808291 41.039347211488725, 28.895496856004947 41.040569140416274, 28.894552718431704 41.041532101534649))"
1612 15 Temmuz Şehitler Meydanı Zeminaltı Otoparkı,3068,15 Temmuz Şehitler Meydanı Zeminaltı Otoparkı,41.0251,29.0911,1029,319,17.05.2024 22:45:08,24 Saat,KAPALI OTOPARK,15,1400.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 73,00;4-8 Saat : 100,00;8-12 Saat : 134,00;Tam Gün : 200,00",ÜMRANİYE,ÜMRANİYE 15 TEMMUZ ŞEHİTLER MEYDANI,"POLYGON ((29.091090982978724 41.02509154546749, 29.091127863352678 41.025092051347, 29.091128533904932 41.02504095749741, 29.0910956768445 41.02504095749741, 29.091090982978724 41.02509154546749))"
0088 19 Mayıs Açık,2338,19 Mayıs Açık,41.0563,28.9941,65,0,17.05.2024 22:45:02,24 Saat,AÇIK OTOPARK,0,2100.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 73,00;4-8 Saat : 100,00;8-12 Saat : 134,00;Tam Gün : 200,00",ŞİŞLİ,MEŞRUTİYET MAHALLESİ BP BENZİN İSTASYONU YAKINI,"POLYGON ((28.99406459931987 41.056360530729926, 28.994100809141571 41.0564217130476, 28.994199380322868 41.056279122764465, 28.994134336754257 41.056255863327237, 28.99406459931987 41.056360530729926))"
0516 19 Mayıs Caddesi,787,19 Mayıs Caddesi 2,40.879,29.2305,15,15,17.05.2024 17:56:04,09:00-18:00,YOL ÜSTÜ,15,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 90,00;4-8 Saat : 110,00;Tam Gün : 145,00",PENDİK,BATI MAHHALLESİ 19 MAYIS CAD /PENDİK,"POLYGON ((29.230194315078393 40.879284716742724, 29.230277463557854 40.879325276566178, 29.230634197356835 40.878848697071206, 29.230540320041314 40.87881624898084, 29.230194315078393 40.879284716742724))"
0516 19 Mayıs Caddesi,788,19 Mayıs Caddesi 3,40.8781,29.2311,20,19,17.05.2024 17:59:44,09:00-18:00,YOL ÜSTÜ,15,0.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 90,00;4-8 Saat : 110,00;Tam Gün : 145,00",PENDİK,BATI MAHHALLESİ 19 MAYIS CAD /PENDİK,"POLYGON ((29.230878560433407 40.878361148467945, 29.231001942048092 40.878401708857311, 29.231415002236385 40.877943375011327, 29.231248705277462 40.877850085432755, 29.230878560433407 40.878361148467945))"
0787 4.Levent Açık Otoparkı,1751,4.Levent Açık Otoparkı,41.0836,29.0081,652,327,17.05.2024 22:45:01,24 Saat,AÇIK OTOPARK,5,1250.0,"0-2 Saat : 52,00;2-4 Saat : 66,00;4-8 Saat : 73,00;8-12 Saat : 100,00;Tam Gün : 134,00",KAĞITHANE,BÜYÜKDERE CADDESİ İSMET İNÖNÜ CADDESİ ESKİ İETT GARAJI,"POLYGON ((29.008087718211364 41.083765490938866, 29.008355939112853 41.083498624143324, 29.007945561133575 41.083314647160805, 29.007969701014709 41.083563319223579, 29.007977747641753 41.08370483948957, 29.008087718211364 41.083765490938866))"
1780 4.Levent Servis ve Turizm Araçları Açık Otoparkı,3311,4.Levent Servis ve Turizm Araçları Açık Otoparkı,41.0835,29.0056,300,255,17.05.2024 21:57:20,24 Saat,AÇIK OTOPARK,15,1250.0,"0-2 Saat : 52,00;2-4 Saat : 66,00;4-8 Saat : 73,00;8-12 Saat : 100,00;Tam Gün : 134,00",KAĞITHANE,ÇELİKTEPE KAĞITHANE,"POLYGON ((29.00534553071369 41.083686365279412, 29.006042905057562 41.083718712735092, 29.0060858204018 41.083362889846939, 29.00533480187763 41.083249673069432, 29.00535625954975 41.083427585060825, 29.00534553071369 41.083686365279412))"
0231 Abide-i Hürriyet Caddesi,103,Abide-i Hürriyet Caddesi 4,41.0632,28.9877,25,10,17.05.2024 17:56:24,08:00-18:00,YOL ÜSTÜ,15,1850.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 95,00;4-8 Saat : 120,00;Tam Gün : 145,00",ŞİŞLİ,MERKEZ MAHALLESİ ABİDE-İ HÜRRİYET CADDESİ,"POLYGON ((28.987672141349229 41.063380402577586, 28.987795522963914 41.063384447259537, 28.987800887381944 41.063157944686807, 28.987768700873765 41.06292739662414, 28.9876667769312 41.062955709587648, 28.987672141349229 41.063380402577586))"
0231 Abide-i Hürriyet Caddesi,104,Abide-i Hürriyet Caddesi 5,41.0619,28.9876,40,24,17.05.2024 17:47:51,08:00-18:00,YOL ÜSTÜ,15,1850.0,"0-1 Saat : 52,00;1-2 Saat : 66,00;2-4 Saat : 95,00;4-8 Saat : 120,00;Tam Gün : 145,00",ŞİŞLİ,MERKEZ MAHALLESİ ABİDE-İ HÜRRİYET CADDESİ,"POLYGON ((28.98755612819982 41.0622114889724, 28.987679509814505 41.062183175688496, 28.987502484019522 41.0615319667945, 28.987368373568778 41.0615683699463, 28.98755612819982 41.0622114889724))"
